title,abstract,year,date,keywords,author,isbn,volume,pages,pid,type,periodical,related url,notes
The transformation of tau particles into T4 heads. II. Transformations of the surface lattice and related observations on form determination,,1974,1974-01-01T00:00:00Z,amino acid,"Aebi, U.",00917419 (ISSN),2,253-275,10.1002/jss.400020218,Journal Article,Journal of Supramolecular Structure,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016378040&doi=10.1002%2fjss.400020218&partnerID=40&md5=365b73a3c5153a1633e75cad88bff436,"Cited By :64 Export Date: 25 January 2021 Chemicals/CAS: amino acid, 65072-01-7; carbon, 7440-44-0; glucose, 50-99-7, 84778-64-3; urea, 57-13-6; Amino Acids; Carbon Radioisotopes; DNA, Viral; Glucose, 50-99-7; Urea, 57-13-6; Viral Proteins"
,,,,carbon,"Bijlenga, R.",,,,,,,,
,,,,glucose,"Broek, J. V. D.",,,,,,,,
,,,,urea,"Broek, R. V. D.",,,,,,,,
,,,,virus DNA,"Eiserling, F.",,,,,,,,
,,,,virus protein,"Kellenberger, C.",,,,,,,,
,,,,article,"Kellenberger, E.",,,,,,,,
,,,,coliphage,"Mesyanzhinov, V.",,,,,,,,
,,,,crystallography,"Müller, L.",,,,,,,,
,,,,DNA virus,"Showe, M.",,,,,,,,
,,,,electron microscopy,"Smith, R.",,,,,,,,
,,,,Escherichia coli,"Steven, A.",,,,,,,,
,,,,gene,,,,,,,,,
,,,,genetic polymorphism,,,,,,,,,
,,,,metabolism,,,,,,,,,
,,,,molecular weight,,,,,,,,,
,,,,mutation,,,,,,,,,
,,,,physiology,,,,,,,,,
,,,,temperature,,,,,,,,,
,,,,ultrastructure,,,,,,,,,
,,,,virus replication,,,,,,,,,
,,,,Amino Acids,,,,,,,,,
,,,,Carbon Radioisotopes,,,,,,,,,
,,,,Coliphages,,,,,,,,,
,,,,DNA Viruses,,,,,,,,,
,,,,"DNA, Viral",,,,,,,,,
,,,,Genes,,,,,,,,,
,,,,"Microscopy, Electron",,,,,,,,,
,,,,"Polymorphism, Genetic",,,,,,,,,
,,,,Viral Proteins,,,,,,,,,
,,,,MLCS,,,,,,,,,
,,,,MLOWN,,,,,,,,,
Determination of Fine-Structure of a Morphological Variant of Escherichia-Coli Phage-T4 Which Produces Giants,,1975,1975-01-01T00:00:00Z,Science & Technology - Other Topics,"Aebi, U.",0014-4754,31,733-733,,Journal Article,Experientia,<Go to ISI>://WOS:A1975AF71200179,"ISI Document Delivery No.: AF712 Times Cited: 0 Cited Reference Count: 3 Cited References: CUMMINGS, 1974, J VIROL, V13 DEROSIER DJ, 1972, J MOL BIOL, V65, P469, DOI 10.1016/0022-2836(72)90202-1 EISERLING, 1973, J VIROL, V12 Aebi, u bijlenga, r steven, a tenheggeler, b 0 Birkhauser verlag ag Basel"
,,,,,"Bijlenga, R.",,,,,,,,
,,,,,"Steven, A.",,,,,,,,
,,,,,"Tenheggeler, B.",,,,,,,,
